,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
852642,0,Brain_Non-Myeloid_brain_pericyte,549,44.0,45,10_60296002_60299097,5903,Psap,0.9777777777777777
852643,1,Brain_Non-Myeloid_brain_pericyte,549,97.0,100,10_60296002_60299097,5903,Psap,0.97
852644,2,Brain_Non-Myeloid_brain_pericyte,549,5.0,8,10_60296002_60299097,5903,Psap,0.625
852645,3,Brain_Non-Myeloid_brain_pericyte,549,218.0,220,10_60296002_60299097,5903,Psap,0.990909090909091
852646,4,Brain_Non-Myeloid_brain_pericyte,549,654.0,661,10_60296002_60299097,5903,Psap,0.989409984871407
852647,5,Brain_Non-Myeloid_brain_pericyte,549,111.0,115,10_60296002_60299097,5903,Psap,0.9652173913043478
852648,6,Brain_Non-Myeloid_brain_pericyte,549,62.0,64,10_60296002_60299097,5903,Psap,0.96875
852649,8,Brain_Non-Myeloid_brain_pericyte,549,81.0,82,10_60296002_60299097,5903,Psap,0.9878048780487805
852650,9,Brain_Non-Myeloid_brain_pericyte,549,5.0,5,10_60296002_60299097,5903,Psap,1.0
852651,10,Brain_Non-Myeloid_brain_pericyte,549,14.0,14,10_60296002_60299097,5903,Psap,1.0
852652,11,Brain_Non-Myeloid_brain_pericyte,549,382.0,386,10_60296002_60299097,5903,Psap,0.9896373056994818
852653,12,Brain_Non-Myeloid_brain_pericyte,549,344.0,347,10_60296002_60299097,5903,Psap,0.9913544668587896
852654,14,Brain_Non-Myeloid_brain_pericyte,549,107.0,124,10_60296002_60299097,5903,Psap,0.8629032258064516
852655,15,Brain_Non-Myeloid_brain_pericyte,549,135.0,172,10_60296002_60299097,5903,Psap,0.7848837209302325
852656,16,Brain_Non-Myeloid_brain_pericyte,549,4.0,80,10_60296002_60299097,5903,Psap,0.05
852657,17,Brain_Non-Myeloid_brain_pericyte,549,294.0,299,10_60296002_60299097,5903,Psap,0.9832775919732442
852658,18,Brain_Non-Myeloid_brain_pericyte,549,507.0,514,10_60296002_60299097,5903,Psap,0.9863813229571985
