cell_id,psap_expression
A12-MAA000926-3_9_M-1-1,3.5965395
A16-MAA000564-3_10_M-1-1,3.3031604
A20-MAA000550-3_10_M-1-1,3.4373999
A20-MAA000947-3_9_M-1-1,3.2852924
A3-MAA000560-3_10_M-1-1,2.7064679
A4-MAA000560-3_10_M-1-1,3.751188
A4-MAA000563-3_10_M-1-1,3.1253028
A7-MAA000932-3_11_M-1-1,0.9968194
A7-MAA001894-3_39_F-1-1,2.164755
A8-MAA000615-3_10_M-1-1,1.9631848
B10-MAA000902-3_11_M-1-1,3.390833
B11-MAA000923-3_9_M-1-1,3.5677295
B12-MAA000923-3_9_M-1-1,3.2427006
B13-MAA000941-3_8_M-1-1,3.0886009
B14-MAA000944-3_9_M-1-1,3.7134352
B15-MAA000941-3_8_M-1-1,1.9803675
B18-MAA000560-3_10_M-1-1,3.1211412
B19-MAA000932-3_11_M-1-1,3.4040346
B6-MAA000581-3_10_M-1-1,2.2731273
B7-B003277-3_39_F-1-1,3.8545852
B7-MAA000932-3_11_M-1-1,2.7977312
C10-MAA000615-3_10_M-1-1,3.4128058
C11-B003275-3_38_F-1-1,2.5746264
C17-MAA000641-3_9_M-1-1,0.0
C18-MAA000947-3_9_M-1-1,3.1351216
C19-MAA000564-3_10_M-1-1,3.325378
C19-MAA000932-3_11_M-1-1,3.056149
C1-B000404-3_56_F-1-1,1.4124557
C22-MAA000932-3_11_M-1-1,2.5578787
C2-MAA000564-3_10_M-1-1,3.4112542
C5-MAA000563-3_10_M-1-1,3.1252987
C7-MAA000932-3_11_M-1-1,2.644621
D10-B003275-3_38_F-1-1,3.3546832
D15-MAA000935-3_8_M-1-1,2.4622698
D20-MAA000578-3_10_M-1-1,3.0779686
D21-MAA000947-3_9_M-1-1,3.4225605
D2-MAA000615-3_10_M-1-1,0.7765441
D2-MAA000641-3_9_M-1-1,2.4173026
D2-MAA000932-3_11_M-1-1,2.4017909
D3-MAA000564-3_10_M-1-1,3.5370128
D6-MAA000563-3_10_M-1-1,2.9803953
D6-MAA000947-3_9_M-1-1,2.9065678
D7-MAA000560-3_10_M-1-1,3.2151382
D9-B003275-3_38_F-1-1,2.6988392
E10-MAA000563-3_10_M-1-1,2.6639576
E12-MAA001894-3_39_F-1-1,1.9938046
E19-MAA000560-3_10_M-1-1,3.221398
E1-MAA000926-3_9_M-1-1,3.5836954
E1-MAA000942-3_8_M-1-1,3.206641
E20-MAA000932-3_11_M-1-1,1.6150854
E3-MAA000923-3_9_M-1-1,2.6150856
E3-MAA000941-3_8_M-1-1,3.5146794
E5-B003277-3_39_F-1-1,3.0813546
E6-MAA000930-3_8_M-1-1,2.8109186
E9-MAA000942-3_8_M-1-1,3.420328
F10-B003290-3_38_F-1-1,3.6343005
F11-B003290-3_38_F-1-1,3.7388499
F11-MAA000942-3_8_M-1-1,2.7178285
F12-MAA000563-3_10_M-1-1,2.786619
F12-MAA000564-3_10_M-1-1,3.4322662
F15-MAA000553-3_10_M-1-1,3.0201888
F19-MAA000926-3_9_M-1-1,3.4766922
F19-MAA000932-3_11_M-1-1,2.4185216
F2-MAA000944-3_9_M-1-1,3.2664676
F3-MAA000550-3_10_M-1-1,3.3293777
F4-MAA000564-3_10_M-1-1,3.1157353
F9-MAA000944-3_9_M-1-1,3.3078148
G14-MAA000941-3_8_M-1-1,3.2744927
G18-MAA000932-3_11_M-1-1,1.8826336
G19-MAA000935-3_8_M-1-1,2.795644
G20-MAA000553-3_10_M-1-1,2.8655396
G21-MAA000560-3_10_M-1-1,3.3015442
G22-B000621-3_56_F-1-1,2.8898754
G2-MAA000942-3_8_M-1-1,3.259619
G3-MAA000902-3_11_M-1-1,3.4915237
G7-MAA000550-3_10_M-1-1,3.2398129
H10-MAA000553-3_10_M-1-1,3.0615537
H12-MAA000560-3_10_M-1-1,3.3802762
H12-MAA000944-3_9_M-1-1,3.500492
H12-MAA000947-3_9_M-1-1,3.3581266
H12-MAA001894-3_39_F-1-1,2.9690144
H14-B003277-3_39_F-1-1,3.1491554
H16-MAA000563-3_10_M-1-1,2.2911727
H16-MAA000941-3_8_M-1-1,2.7500205
H16-MAA001894-3_39_F-1-1,2.4904213
H20-B000621-3_56_F-1-1,2.945024
H20-MAA000560-3_10_M-1-1,3.4230363
H2-MAA000942-3_8_M-1-1,3.2147343
H3-MAA000926-3_9_M-1-1,2.354982
H4-MAA000564-3_10_M-1-1,2.2605386
H4-MAA000932-3_11_M-1-1,2.9942317
