STAR version=2.7.10b
STAR compilation time,server,dir=2022-11-01T09:53:26-04:00 :/home/dobin/data/STAR/STARcode/STAR.master/source
STAR git: On branch master ; commit c6f8efc2c7043ef83bf8b0d9bed36bbb6b9b1133 ; diff files: CHANGES.md 
##### Command Line:
star --runThreadN 4 --runMode genomeGenerate --genomeDir /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star --genomeFastaFiles /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa --sjdbGTFfile /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    4     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star     ~RE-DEFINED
genomeFastaFiles              /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        4
genomeDir                         /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star
genomeFastaFiles                  /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa   
sjdbGTFfile                       /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf

-------------------------------
##### Final effective command line:
star   --runMode genomeGenerate      --runThreadN 4   --genomeDir /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star   --genomeFastaFiles /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa      --sjdbGTFfile /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/gencode.vM34.basic.annotation.gtf
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star/
!!!!! WARNING: Could not move Log.out file from ./Log.out into /gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/star/Log.out. Will keep ./Log.out

May 12 21:43:15 ... starting to generate Genome files
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 0  "chr1" chrStart: 0
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 1  "chr2" chrStart: 195297280
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 2  "chr3" chrStart: 377225216
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 3  "chr4" chrStart: 537133056
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 4  "chr5" chrStart: 694157312
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 5  "chr6" chrStart: 845938688
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 6  "chr7" chrStart: 995622912
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 7  "chr8" chrStart: 1140850688
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 8  "chr9" chrStart: 1271136256
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 9  "chr10" chrStart: 1395654656
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 10  "chr11" chrStart: 1526202368
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 11  "chr12" chrStart: 1648361472
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 12  "chr13" chrStart: 1768685568
/gpfs/commons/projects/knowles_singlecell_splicing/CZhang_2018_mouse_dev/reference-genome/GRCm39.genome.fa : chr # 13  "chr14" chrStart: 1889796096
