lifted_junction_id,lifted_gene_name,lifted_ensembl_id,lifted_primary_gene_id,lifted_event_id,lifted_coords,lifted_strand,match_found,match_type,target_junction_id,target_gene_name,target_ensembl_id,target_primary_gene_id,target_event_id,start_distance,end_distance,total_distance,explanation
chr1_931089_935771_+,1,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:156254580-156255944,-,True,distant_match,chr4_156252080_156252226_-,1,ENSMUSG00000096351.2,ENSMUSG00000096351.2,Unknown,2500.0,3718.0,6218.0,Match found with 6218bp total distance
chr1_939412_941143_+,2,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:156250500-156251945,-,True,distant_match,chr4_156252080_156252196_-,1,ENSMUSG00000096351.2,ENSMUSG00000096351.2,Unknown,1580.0,251.0,1831.0,Match found with 1831bp total distance
chr1_939460_941143_+,2,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:156250500-156251920,-,True,distant_match,chr4_156252080_156252196_-,1,ENSMUSG00000096351.2,ENSMUSG00000096351.2,Unknown,1580.0,276.0,1856.0,Match found with 1856bp total distance
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:156116603-156249384,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr4
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr5:134527354-134527924,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr5
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr13:9902687-9902881,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr13
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr3:109104201-109104426,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr3
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr2:65200723-65201384,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr2
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr2:65200768-65201225,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr2
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr2:65201233-65201384,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr2
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr2:33833239-33833799,-,True,distant_match,chr2_33827811_33834536_-,4,ENSMUSG00000038740.9,ENSMUSG00000038740.9,Unknown,5428.0,737.0,6165.0,Match found with 6165bp total distance
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr17:23010915-23011079,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr17
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr16:30065590-30067194,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr16
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:154960808-154961010,-,True,distant_match,chr4_154987016_154989117_-,5,ENSMUSG00000029055.17,ENSMUSG00000029055.17,Unknown,26208.0,28107.0,54315.0,Match found with 54315bp total distance
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr3:108562901-108562993,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr3
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr17:66624508-66624884,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr17
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr16:8834927-8835036,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr16
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr2:152801962-152802681,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr2
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:150557462-150557574,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr4
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr4:150557462-150557572,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr4
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr5:134527408-134527821,-,True,distant_match,chr5_134518031_134522585_-,1,ENSMUSG00000063146.11,ENSMUSG00000063146.11,Unknown,9377.0,5236.0,14613.0,Match found with 14613bp total distance
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr5:121171971-121172162,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr5
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr6:124721811-124728990,-,True,distant_match,chr6_124728360_124728831_-,3,ENSMUSG00000004266.15,ENSMUSG00000004266.15,Unknown,6549.0,159.0,6708.0,Match found with 6708bp total distance
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr6:124724953-124725094,+,True,distant_match,chr6_124712439_124712775_+,2,ENSMUSG00000004264.17,ENSMUSG00000004264.17,Unknown,12514.0,12319.0,24833.0,Match found with 24833bp total distance
chr1_942251_1103834_+,3,ENSG00000187634.13,ENSG00000187634.13,Unknown,chr18:73424896-73425187,-,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr18
