lifted_junction_id,lifted_gene_name,lifted_ensembl_id,lifted_primary_gene_id,lifted_event_id,lifted_coords,lifted_strand,match_found,match_type,target_junction_id,target_gene_name,target_ensembl_id,target_primary_gene_id,target_event_id,start_distance,end_distance,total_distance,explanation
chr1_4807686_4808454_+,1,ENSMUSG00000025903.14,ENSMUSG00000025903.14,Unknown,chr8:54100939-54101993,-,True,distant_match,chr8_54080329_54081561_-,1,ENSG00000120992.18,ENSG00000120992.18,Unknown,20610.0,20432.0,41042.0,Match found with 41042bp total distance
chr1_4808365_4808454_+,1,ENSMUSG00000025903.14,ENSMUSG00000025903.14,Unknown,chr8:54100939-54101048,-,True,distant_match,chr8_54080329_54081561_-,1,ENSG00000120992.18,ENSG00000120992.18,Unknown,20610.0,19487.0,40097.0,Match found with 40097bp total distance
chr1_5019855_5083132_+,1,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53843258-53880533,-,True,distant_match,chr8_53841725_53843033_-,2,ENSG00000047249.18,ENSG00000047249.18,Unknown,1533.0,37500.0,39033.0,Match found with 39033bp total distance
chr1_5019855_5083132_+,1,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr5:21882501-21884779,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr5
chr1_5019855_5083178_+,1,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53843205-53880533,-,True,distant_match,chr8_53841725_53843033_-,2,ENSG00000047249.18,ENSG00000047249.18,Unknown,1480.0,37500.0,38980.0,Match found with 38980bp total distance
chr1_5019855_5083178_+,1,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr5:21882501-21884779,+,False,no_match_in_window,,,,,,,,,No match found within 50000bp window on chr5
chr1_5083278_5084416_+,2,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53841725-53843033,-,True,perfect_match,chr8_53841725_53843033_-,2,ENSG00000047249.18,ENSG00000047249.18,Unknown,0.0,0.0,0.0,Match found with 0bp total distance
chr1_5083625_5084416_+,2,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53841725-53842503,-,True,distant_match,chr8_53841725_53842870_-,2,ENSG00000047249.18,ENSG00000047249.18,Unknown,0.0,367.0,367.0,Match found with 367bp total distance
chr1_5089103_5098080_+,3,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53814714-53832991,-,True,distant_match,chr8_53814745_53841624_-,3,ENSG00000047249.18,ENSG00000047249.18,Unknown,31.0,8633.0,8664.0,Match found with 8664bp total distance
chr1_5089103_5098080_+,3,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53833012-53833048,-,True,distant_match,chr8_53833086_53839624_-,4,ENSG00000047249.18,ENSG00000047249.18,Unknown,74.0,6576.0,6650.0,Match found with 6650bp total distance
chr1_5093415_5098080_+,3,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53814714-53829480,-,True,distant_match,chr8_53814745_53841624_-,3,ENSG00000047249.18,ENSG00000047249.18,Unknown,31.0,12144.0,12175.0,Match found with 12175bp total distance
chr1_5098133_5117389_+,4,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53801896-53814661,-,True,distant_match,chr8_53814745_53841624_-,3,ENSG00000047249.18,ENSG00000047249.18,Unknown,12849.0,26963.0,39812.0,Match found with 39812bp total distance
chr1_5098133_5101069_+,4,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53811217-53814661,-,True,distant_match,chr8_53814745_53841624_-,3,ENSG00000047249.18,ENSG00000047249.18,Unknown,3528.0,26963.0,30491.0,Match found with 30491bp total distance
chr1_5101123_5117389_+,4,ENSMUSG00000033793.12,ENSMUSG00000033793.12,Unknown,chr8:53801896-53811163,-,True,distant_match,chr8_53814745_53841624_-,3,ENSG00000047249.18,ENSG00000047249.18,Unknown,12849.0,30461.0,43310.0,Match found with 43310bp total distance
chr1_6214957_6227939_+,1,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52686967-52714074,-,True,distant_match,chr8_52683719_52683886_-,2,ENSG00000023287.13,ENSG00000023287.13,Unknown,3248.0,30188.0,33436.0,Match found with 33436bp total distance
chr1_6215252_6227939_+,1,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52686967-52713555,-,True,distant_match,chr8_52683719_52683886_-,2,ENSG00000023287.13,ENSG00000023287.13,Unknown,3248.0,29669.0,32917.0,Match found with 32917bp total distance
chr1_6228049_6229958_+,2,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52685520-52686852,-,True,distant_match,chr8_52683719_52683886_-,2,ENSG00000023287.13,ENSG00000023287.13,Unknown,1801.0,2966.0,4767.0,Match found with 4767bp total distance
chr1_6228049_6233960_+,2,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52684013-52686852,-,True,distant_match,chr8_52683719_52683886_-,2,ENSG00000023287.13,ENSG00000023287.13,Unknown,294.0,2966.0,3260.0,Match found with 3260bp total distance
chr1_6230073_6233960_+,2,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52684013-52685398,-,True,distant_match,chr8_52683719_52683886_-,2,ENSG00000023287.13,ENSG00000023287.13,Unknown,294.0,1512.0,1806.0,Match found with 1806bp total distance
chr1_6238409_6239956_+,3,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52674269-52676423,-,True,distant_match,chr8_52674269_52676368_-,4,ENSG00000023287.13,ENSG00000023287.13,Unknown,0.0,55.0,55.0,Match found with 55bp total distance
chr1_6238464_6239951_+,3,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52674274-52676368,-,True,perfect_match,chr8_52674274_52676368_-,4,ENSG00000023287.13,ENSG00000023287.13,Unknown,0.0,0.0,0.0,Match found with 0bp total distance
chr1_6238464_6239956_+,3,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52674269-52676368,-,True,perfect_match,chr8_52674269_52676368_-,4,ENSG00000023287.13,ENSG00000023287.13,Unknown,0.0,0.0,0.0,Match found with 0bp total distance
chr1_6244928_6245157_+,4,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52661281-52661585,-,True,distant_match,chr8_52660657_52660925_-,5,ENSG00000023287.13,ENSG00000023287.13,Unknown,624.0,660.0,1284.0,Match found with 1284bp total distance
chr1_6244979_6245157_+,4,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52661281-52661534,-,True,distant_match,chr8_52660657_52660925_-,5,ENSG00000023287.13,ENSG00000023287.13,Unknown,624.0,609.0,1233.0,Match found with 1233bp total distance
chr1_6270818_6272700_+,6,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52624787-52628040,-,True,perfect_match,chr8_52624787_52628040_-,8,ENSG00000023287.13,ENSG00000023287.13,Unknown,0.0,0.0,0.0,Match found with 0bp total distance
chr1_6270818_6272706_+,6,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52624781-52628040,-,True,perfect_match,chr8_52624781_52628040_-,8,ENSG00000023287.13,ENSG00000023287.13,Unknown,0.0,0.0,0.0,Match found with 0bp total distance
chr1_6270827_6272700_+,6,ENSMUSG00000025907.14,ENSMUSG00000025907.14,Unknown,chr8:52624787-52628031,-,True,perfect_match,chr8_52624787_52628031_-,8,ENSG00000023287.13,ENSG00000023287.13,Unknown,0.0,0.0,0.0,Match found with 0bp total distance
