,junction,strand,label_5_prime,label_3_prime,position_off_5_prime,position_off_3_prime,transcripts,annotation
0,chr10:100080130-100080856,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000020129.7', 'ENSMUST00000105283.8']",both sides
1,chr10:100080130-100087346,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000020129.7', 'ENSMUST00000105283.8']",both sides
2,chr10:100080940-100087346,+,annotated on 5',annotated on 3',0.0,1.0,['ENSMUST00000105283.8'],both sides
3,chr10:100478022-100485050,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000134477.1', 'ENSMUST00000099318.9', 'ENSMUST00000130883.1', 'ENSMUST00000058154.14', 'ENSMUST00000128009.1']",both sides
4,chr10:100478022-100487161,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000134477.1', 'ENSMUST00000099318.9', 'ENSMUST00000130883.1', 'ENSMUST00000058154.14', 'ENSMUST00000128009.1']",both sides
5,chr10:100485125-100487161,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000134477.1', 'ENSMUST00000099318.9', 'ENSMUST00000130883.1', 'ENSMUST00000058154.14', 'ENSMUST00000128009.1']",both sides
6,chr10:100578431-100582262,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219698.1', 'ENSMUST00000054471.9', 'ENSMUST00000218821.1', 'ENSMUST00000219410.1', 'ENSMUST00000219790.1', 'ENSMUST00000219995.1']",both sides
7,chr10:100578431-100583913,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219698.1', 'ENSMUST00000218328.1', 'ENSMUST00000054471.9', 'ENSMUST00000218821.1', 'ENSMUST00000219410.1', 'ENSMUST00000219790.1', 'ENSMUST00000219995.1']",both sides
8,chr10:100582322-100583913,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000219698.1', 'ENSMUST00000218328.1', 'ENSMUST00000054471.9', 'ENSMUST00000218821.1', 'ENSMUST00000219410.1', 'ENSMUST00000219790.1', 'ENSMUST00000219995.1']",both sides
9,chr10:105833015-105836126,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176924.7', 'ENSMUST00000176040.1', 'ENSMUST00000046638.9']",both sides
10,chr10:105833015-105841075,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176924.7', 'ENSMUST00000176830.1', 'ENSMUST00000176040.1', 'ENSMUST00000046638.9']",both sides
11,chr10:105836220-105841075,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176924.7', 'ENSMUST00000176830.1', 'ENSMUST00000176040.1', 'ENSMUST00000046638.9']",both sides
12,chr10:105839587-105841075,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000176924.7', 'ENSMUST00000176830.1', 'ENSMUST00000176040.1', 'ENSMUST00000046638.9']",both sides
13,chr10:106557299-106743486,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000169303.2', 'ENSMUST00000217854.1', 'ENSMUST00000029404.16']",both sides
14,chr10:106632878-106743486,+,unannotated on 5',annotated on 3',,1.0,[],one side
15,chr10:108251944-108252756,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000219759.1', 'ENSMUST00000219263.1', 'ENSMUST00000070663.5', 'ENSMUST00000218773.1']",both sides
16,chr10:108251944-108253324,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000219759.1', 'ENSMUST00000219263.1', 'ENSMUST00000070663.5', 'ENSMUST00000218773.1']",both sides
17,chr10:108252924-108253324,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000219759.1', 'ENSMUST00000219263.1', 'ENSMUST00000070663.5', 'ENSMUST00000219068.1']",both sides
18,chr10:108252924-108259755,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000219759.1', 'ENSMUST00000219263.1', 'ENSMUST00000070663.5', 'ENSMUST00000219068.1']",both sides
19,chr10:108253495-108259755,+,annotated on 5',annotated on 3',0.0,1.0,"['ENSMUST00000219263.1', 'ENSMUST00000070663.5', 'ENSMUST00000218161.1']",both sides
20,chr10:108636664-108642213,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000156979.1', 'ENSMUST00000064054.13', 'ENSMUST00000105276.7']",both sides
21,chr10:108636673-108642213,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000156979.1', 'ENSMUST00000064054.13', 'ENSMUST00000105276.7']",both sides
22,chr10:109863891-109866930,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000032719.14'],both sides
23,chr10:109863891-109880534,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000032719.14'],both sides
24,chr10:109866999-109880534,-,annotated on 5',annotated on 3',1.0,0.0,['ENSMUST00000032719.14'],both sides
25,chr10:109903863-109976163,-,unannotated on 5',annotated on 3',,0.0,"['ENSMUST00000032719.14', 'ENSMUST00000160159.2']",one side
26,chr10:109903863-109999976,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000032719.14', 'ENSMUST00000160159.2']",both sides
27,chr10:109903863-110216701,-,annotated on 5',annotated on 3',1.0,0.0,"['ENSMUST00000032719.14', 'ENSMUST00000160159.2']",both sides
